Experiment: floating_5det_one
Date: 20260323_2239
==================================================
Epoch | Train Loss | Train Acc | Val Loss | Val Acc | LR | Time(s) | Status
--------------------------------------------------------------------------------
    1 |   0.150002 |    0.3510 | 0.139352 |  0.6750 | 1.00e-03 |  176.30 | Best Model Saved
    2 |   0.134747 |    0.7691 | 0.127589 |  0.8415 | 1.00e-03 |  127.64 | Best Model Saved
    3 |   0.125796 |    0.8069 | 0.120491 |  0.8725 | 1.00e-03 |  127.28 | Best Model Saved
    4 |   0.119726 |    0.8107 | 0.115645 |  0.7965 | 1.00e-03 |  127.08 | 
    5 |   0.115486 |    0.7945 | 0.111964 |  0.8230 | 1.00e-03 |  127.87 | 
    6 |   0.112296 |    0.8101 | 0.109073 |  0.8620 | 1.00e-03 |  127.63 | 
    7 |   0.109272 |    0.8109 | 0.106530 |  0.8820 | 1.00e-03 |  127.55 | Best Model Saved
    8 |   0.106922 |    0.8780 | 0.104446 |  0.8660 | 1.00e-03 |  126.90 | 
    9 |   0.104960 |    0.8559 | 0.102643 |  0.8770 | 1.00e-03 |  129.92 | 
   10 |   0.103306 |    0.8361 | 0.100928 |  0.8770 | 1.00e-03 |  128.01 | 
   11 |   0.101491 |    0.8822 | 0.099351 |  0.8570 | 1.00e-03 |  127.18 | 
   12 |   0.099871 |    0.8715 | 0.097740 |  0.8885 | 1.00e-03 |  128.12 | Best Model Saved
   13 |   0.098208 |    0.8964 | 0.096176 |  0.8820 | 1.00e-03 |  130.61 | 
   14 |   0.096904 |    0.8718 | 0.094601 |  0.9265 | 1.00e-03 |  130.09 | Best Model Saved
   15 |   0.095099 |    0.8908 | 0.092982 |  0.8780 | 1.00e-03 |  158.00 | 
   16 |   0.094076 |    0.8671 | 0.091461 |  0.9100 | 1.00e-03 |  162.73 | 
   17 |   0.092232 |    0.8731 | 0.089998 |  0.9010 | 1.00e-03 |  148.07 | 
   18 |   0.091383 |    0.8726 | 0.088535 |  0.8825 | 1.00e-03 |  161.19 | 
   19 |   0.089827 |    0.8826 | 0.087282 |  0.8875 | 1.00e-03 |  147.94 | 
   20 |   0.088262 |    0.8784 | 0.085800 |  0.8965 | 1.00e-03 |  130.54 | 
   21 |   0.086550 |    0.8774 | 0.084030 |  0.9015 | 1.00e-03 |  127.70 | 
   22 |   0.085514 |    0.8811 | 0.082663 |  0.8875 | 1.00e-03 |  161.62 | 
   23 |   0.084232 |    0.8769 | 0.081031 |  0.9090 | 1.00e-03 |  159.24 | 
   24 |   0.083054 |    0.8878 | 0.079662 |  0.9090 | 1.00e-03 |  148.79 | 
   25 |   0.081543 |    0.8932 | 0.078115 |  0.9165 | 1.00e-03 |  153.30 | 
   26 |   0.079552 |    0.8991 | 0.076759 |  0.9140 | 1.00e-03 |  150.05 | 
   27 |   0.078317 |    0.9038 | 0.075501 |  0.9015 | 1.00e-03 |  136.39 | 
   28 |   0.077645 |    0.9030 | 0.074577 |  0.9075 | 1.00e-03 |  129.40 | 
   29 |   0.076581 |    0.9024 | 0.073190 |  0.9250 | 1.00e-03 |  172.43 | 
   30 |   0.075374 |    0.9150 | 0.072067 |  0.9180 | 1.00e-03 |  152.80 | 
   31 |   0.074891 |    0.9039 | 0.071254 |  0.9295 | 1.00e-03 |  142.25 | Best Model Saved
   32 |   0.073911 |    0.9180 | 0.070827 |  0.9115 | 1.00e-03 |  152.98 | 
   33 |   0.073335 |    0.9161 | 0.070271 |  0.9225 | 1.00e-03 |  144.26 | 
   34 |   0.072468 |    0.9150 | 0.069306 |  0.9270 | 1.00e-03 |  131.83 | 
   35 |   0.072103 |    0.9137 | 0.069017 |  0.9335 | 1.00e-03 |  129.78 | Best Model Saved
   36 |   0.071613 |    0.9203 | 0.068137 |  0.9335 | 1.00e-03 |  126.20 | 
   37 |   0.070881 |    0.9206 | 0.067800 |  0.9250 | 1.00e-03 |  162.09 | 
   38 |   0.070810 |    0.9164 | 0.067475 |  0.9345 | 1.00e-03 |  164.56 | Best Model Saved
   39 |   0.069809 |    0.9220 | 0.066670 |  0.9340 | 1.00e-03 |  138.92 | 
   40 |   0.069159 |    0.9193 | 0.066786 |  0.9055 | 1.00e-03 |  155.19 | 
   41 |   0.069254 |    0.9249 | 0.066030 |  0.9320 | 1.00e-03 |  148.49 | 
   42 |   0.069084 |    0.9226 | 0.065713 |  0.9350 | 1.00e-03 |  130.66 | Best Model Saved
   43 |   0.068838 |    0.9176 | 0.065408 |  0.9375 | 1.00e-03 |  127.89 | Best Model Saved
   44 |   0.068227 |    0.9209 | 0.065217 |  0.9335 | 1.00e-03 |  152.44 | 
   45 |   0.068618 |    0.9185 | 0.065050 |  0.9300 | 1.00e-03 |  160.48 | 
   46 |   0.067655 |    0.9305 | 0.064768 |  0.9365 | 1.00e-03 |  138.02 | 
   47 |   0.067423 |    0.9234 | 0.063954 |  0.9365 | 1.00e-03 |  150.24 | 
   48 |   0.068118 |    0.9231 | 0.064091 |  0.9345 | 1.00e-03 |  159.76 | 
   49 |   0.067291 |    0.9199 | 0.064150 |  0.9800 | 1.00e-03 |  133.05 | Best Model Saved
   50 |   0.066810 |    0.9193 | 0.063477 |  0.9385 | 1.00e-03 |  130.35 | 
   51 |   0.067529 |    0.9259 | 0.063577 |  0.9265 | 1.00e-03 |  127.45 | 
   52 |   0.066442 |    0.9247 | 0.063326 |  0.9195 | 1.00e-03 |  176.47 | 
   53 |   0.066626 |    0.9193 | 0.062952 |  0.9315 | 1.00e-03 |  155.15 | 
   54 |   0.065674 |    0.9340 | 0.062553 |  0.9260 | 1.00e-03 |  139.89 | 
   55 |   0.065871 |    0.9213 | 0.062544 |  0.9310 | 1.00e-03 |  148.44 | 
   56 |   0.066227 |    0.9255 | 0.062245 |  0.9310 | 1.00e-03 |  139.23 | 
   57 |   0.065514 |    0.9231 | 0.061998 |  0.9360 | 1.00e-03 |  132.43 | 
   58 |   0.065115 |    0.9235 | 0.061631 |  0.9365 | 1.00e-03 |  130.90 | 
   59 |   0.064773 |    0.9280 | 0.061447 |  0.9365 | 1.00e-03 |  127.61 | 
   60 |   0.064251 |    0.9257 | 0.061220 |  0.9350 | 1.00e-03 |  139.49 | 
   61 |   0.064750 |    0.9226 | 0.060921 |  0.9240 | 1.00e-03 |  192.41 | 
   62 |   0.064488 |    0.9264 | 0.060850 |  0.9270 | 1.00e-03 |  138.25 | 
   63 |   0.064454 |    0.9199 | 0.060793 |  0.9435 | 1.00e-03 |  146.85 | 
   64 |   0.063886 |    0.9211 | 0.060606 |  0.9265 | 1.00e-03 |  153.91 | 
   65 |   0.064458 |    0.9216 | 0.060424 |  0.9310 | 1.00e-03 |  133.95 | 
   66 |   0.063538 |    0.9237 | 0.060467 |  0.9365 | 1.00e-03 |  129.17 | 
   67 |   0.063862 |    0.9269 | 0.060240 |  0.9360 | 1.00e-03 |  126.40 | 
   68 |   0.064172 |    0.9266 | 0.060310 |  0.9325 | 1.00e-03 |  187.10 | 
   69 |   0.063870 |    0.9373 | 0.059648 |  0.9345 | 1.00e-03 |  151.20 | 
   70 |   0.062886 |    0.9301 | 0.059490 |  0.9365 | 1.00e-03 |  173.17 | 
   71 |   0.063522 |    0.9297 | 0.059641 |  0.9390 | 1.00e-03 |  160.76 | 
   72 |   0.063126 |    0.9284 | 0.059606 |  0.9630 | 1.00e-03 |  134.08 | 
   73 |   0.063083 |    0.9237 | 0.059173 |  0.9355 | 1.00e-03 |  167.03 | 
   74 |   0.064027 |    0.9269 | 0.059546 |  0.9250 | 1.00e-03 |  150.40 | 
   75 |   0.063441 |    0.9251 | 0.059136 |  0.9345 | 1.00e-03 |  138.70 | 
   76 |   0.062948 |    0.9291 | 0.058865 |  0.9340 | 1.00e-03 |  163.68 | 
