epoch,train_loss,val_loss,train_acc,val_acc,learning_rate
1,41618.320328,35019.858500,0.192298,0.229000,1.00e-03
2,32178.678788,27779.261422,0.424116,0.531000,1.00e-03
3,26310.472917,23247.876426,0.538131,0.587000,1.00e-03
4,22733.912973,20522.124519,0.618687,0.610000,1.00e-03
5,20226.720802,18530.703382,0.624495,0.644500,1.00e-03
6,18613.172790,16957.969696,0.653157,0.658500,1.00e-03
7,17071.662847,15726.035283,0.654167,0.717000,1.00e-03
8,16022.863194,14620.930676,0.771843,0.812000,1.00e-03
9,14802.115499,13455.326310,0.760732,0.849500,1.00e-03
10,13502.218782,12114.206401,0.823990,0.854000,1.00e-03
11,12487.358744,10916.195445,0.825505,0.828000,1.00e-03
12,11113.637263,9493.134380,0.816288,0.789000,1.00e-03
13,9896.987516,8319.044607,0.798232,0.811500,1.00e-03
14,8918.115467,7388.633639,0.806313,0.832000,1.00e-03
15,8170.483254,6678.217817,0.823485,0.819500,1.00e-03
16,7303.661577,5998.504693,0.827904,0.833500,1.00e-03
17,7028.657962,5649.265897,0.837626,0.841000,1.00e-03
18,6543.676768,5388.331802,0.842677,0.841500,1.00e-03
19,6194.750182,5012.820526,0.855556,0.858500,1.00e-03
20,6011.104411,4738.612473,0.850379,0.864000,1.00e-03
21,5728.124747,4504.508382,0.862247,0.868000,1.00e-03
22,5456.422956,4353.255849,0.859975,0.872500,1.00e-03
23,5244.627210,4143.612414,0.879545,0.866000,1.00e-03
24,4969.316138,3971.083564,0.871970,0.875500,1.00e-03
25,4708.304585,3789.000194,0.881439,0.888500,1.00e-03
26,4774.226184,4197.949380,0.879672,0.847500,1.00e-03
27,4783.899558,3904.957989,0.875631,0.862500,1.00e-03
28,4333.807165,3608.917292,0.886742,0.918500,1.00e-03
29,4466.750900,3471.775751,0.883333,0.884500,1.00e-03
30,4216.947834,3414.823161,0.887247,0.921000,1.00e-03
31,4047.485286,3315.975644,0.890783,0.900500,1.00e-03
32,4108.266339,3248.096373,0.885101,0.925500,1.00e-03
33,4016.087346,3183.961829,0.892172,0.911000,1.00e-03
34,3775.185038,3048.451265,0.896086,0.925000,1.00e-03
35,3812.275612,3036.047094,0.895076,0.912500,1.00e-03
36,3646.439891,2857.049036,0.902652,0.928500,1.00e-03
37,3544.435511,2855.206726,0.903914,0.914000,1.00e-03
38,3476.378196,2773.461552,0.903914,0.923000,1.00e-03
39,3513.293975,2785.282444,0.904419,0.897000,1.00e-03
40,3287.397392,2558.633576,0.901641,0.931500,1.00e-03
41,3390.346066,2701.230499,0.905051,0.919000,1.00e-03
42,3455.585140,2526.898724,0.897348,0.934000,1.00e-03
43,3203.703358,2577.357247,0.910606,0.923000,1.00e-03
44,3175.970332,2337.787138,0.903788,0.929500,1.00e-03
45,3106.317097,2305.994760,0.903788,0.929000,1.00e-03
46,3013.456471,2315.281121,0.909217,0.925500,1.00e-03
47,3133.415392,2273.788373,0.902273,0.925000,1.00e-03
48,2873.971366,2207.925053,0.913510,0.927500,1.00e-03
49,2876.231901,2200.378945,0.905429,0.928500,1.00e-03
50,2994.611020,2083.409838,0.899621,0.929000,1.00e-03
51,2818.482674,2074.347157,0.907449,0.933000,1.00e-03
52,2807.501821,2072.857073,0.908207,0.933000,1.00e-03
53,2822.784107,2006.097475,0.912374,0.925500,1.00e-03
54,2731.369614,2076.452734,0.913636,0.920000,1.00e-03
55,2662.915629,1936.089217,0.909217,0.929500,1.00e-03
56,2740.414852,1977.802325,0.912247,0.927500,1.00e-03
57,2727.947798,1823.624488,0.909722,0.935000,1.00e-03
58,2835.720443,1924.378475,0.906566,0.929000,1.00e-03
59,2496.762784,1838.971336,0.918561,0.932500,1.00e-03
60,2468.204305,1695.997678,0.918687,0.931500,1.00e-03
61,2563.959134,1756.639276,0.917172,0.930000,1.00e-03
62,2650.418154,2002.784667,0.910480,0.928500,1.00e-03
63,2443.048635,1750.821598,0.916540,0.934000,1.00e-03
64,2443.792706,1687.126450,0.914773,0.934500,1.00e-03
65,2427.714147,1558.617894,0.918561,0.932000,1.00e-03
66,2498.104135,1780.184701,0.914394,0.929500,1.00e-03
67,2320.107448,1709.173090,0.921591,0.933500,1.00e-03
68,2254.049092,1585.343822,0.921338,0.933500,1.00e-03
69,2386.989074,1748.262505,0.918687,0.950000,1.00e-03
70,2305.777867,1474.292408,0.924242,0.960000,1.00e-03
71,2359.810500,1516.482461,0.922096,0.938500,1.00e-03
72,2374.235717,1512.091880,0.917803,0.938000,1.00e-03
73,2232.559860,1427.220166,0.923106,0.932000,1.00e-03
74,2102.036510,1568.338096,0.930934,0.934000,1.00e-03
75,2008.789366,1411.403988,0.936111,0.943500,1.00e-03
76,2219.633286,1496.258975,0.925000,0.935000,1.00e-03
77,2229.365294,1351.596807,0.920202,0.937000,1.00e-03
78,2057.698084,1314.995858,0.927399,0.968500,1.00e-03
79,1970.723509,1514.236198,0.934217,0.934500,1.00e-03
80,2115.318661,1325.364727,0.931439,0.947000,1.00e-03
81,2064.566791,1315.728045,0.929924,0.960500,1.00e-03
82,2016.185981,1320.755854,0.933965,0.959500,1.00e-03
83,1944.855556,1235.299465,0.937626,0.937500,1.00e-03
84,2180.671064,1451.389572,0.932071,0.984000,1.00e-03
85,2058.944277,1256.797295,0.933333,0.959500,1.00e-03
86,1856.389072,1201.217087,0.943056,0.974500,1.00e-03
87,1785.572131,1209.510470,0.945833,0.939500,1.00e-03
88,1967.298388,1155.520973,0.938889,0.962000,1.00e-03
89,1846.954660,1281.434380,0.940278,0.932500,1.00e-03
90,1779.029638,1158.124005,0.946465,0.974500,1.00e-03
91,1812.278488,1150.730208,0.942551,0.965500,1.00e-03
92,1790.074601,1124.762484,0.939015,0.960000,1.00e-03
93,1869.143543,1126.282609,0.936995,0.962500,1.00e-03
94,1672.254674,1149.009875,0.947222,0.959500,1.00e-03
95,1704.019900,1045.904048,0.948611,0.974500,1.00e-03
96,1764.381631,1089.362478,0.941162,0.974500,1.00e-03
97,1817.889250,1076.808418,0.949116,0.952000,1.00e-03
98,1807.539609,1104.772028,0.940404,0.967500,1.00e-03
99,1736.918588,1003.960064,0.949369,0.976500,1.00e-03
100,1657.096078,1018.354891,0.946465,0.975500,1.00e-03
