Experiment: floating_5det_one
Date: 20260405_0338
==================================================
Epoch | Train Loss | Train Acc | Val Loss | Val Acc | LR | Int.Ratio | MaskWt | Time(s) | Status
--------------------------------------------------------------------------------
    1 | 41618.320328 |    0.1923 | 35019.858500 |  0.2290 | 1.00e-03 | 27.2379 | 1600.0000 |   65.74 | Best Model Saved
    2 | 32178.678788 |    0.4241 | 27779.261422 |  0.5310 | 1.00e-03 | 32.0827 | 1600.0000 |   51.20 | Best Model Saved
    3 | 26310.472917 |    0.5381 | 23247.876426 |  0.5870 | 1.00e-03 | 35.3039 | 1600.0000 |   52.15 | Best Model Saved
    4 | 22733.912973 |    0.6187 | 20522.124519 |  0.6100 | 1.00e-03 | 37.2722 | 1600.0000 |   54.38 | Best Model Saved
    5 | 20226.720802 |    0.6245 | 18530.703382 |  0.6445 | 1.00e-03 | 38.5515 | 1600.0000 |   53.61 | Best Model Saved
    6 | 18613.172790 |    0.6532 | 16957.969696 |  0.6585 | 1.00e-03 | 39.6713 | 1600.0000 |   50.96 | Best Model Saved
    7 | 17071.662847 |    0.6542 | 15726.035283 |  0.7170 | 1.00e-03 | 40.4526 | 1600.0000 |   53.41 | Best Model Saved
    8 | 16022.863194 |    0.7718 | 14620.930676 |  0.8120 | 1.00e-03 | 41.0428 | 1600.0000 |   53.67 | Best Model Saved
    9 | 14802.115499 |    0.7607 | 13455.326310 |  0.8495 | 1.00e-03 | 41.7863 | 1600.0000 |   53.32 | Best Model Saved
   10 | 13502.218782 |    0.8240 | 12114.206401 |  0.8540 | 1.00e-03 | 42.5023 | 1600.0000 |   54.07 | Best Model Saved
   11 | 12487.358744 |    0.8255 | 10916.195445 |  0.8280 | 1.00e-03 | 43.2898 | 1600.0000 |   54.72 | Best Model Saved
   12 | 11113.637263 |    0.8163 | 9493.134380 |  0.7890 | 1.00e-03 | 44.0797 | 1600.0000 |   55.59 | Best Model Saved
   13 | 9896.987516 |    0.7982 | 8319.044607 |  0.8115 | 1.00e-03 | 44.9765 | 1600.0000 |   54.91 | Best Model Saved
   14 | 8918.115467 |    0.8063 | 7388.633639 |  0.8320 | 1.00e-03 | 45.7921 | 1600.0000 |   52.76 | Best Model Saved
   15 | 8170.483254 |    0.8235 | 6678.217817 |  0.8195 | 1.00e-03 | 46.3307 | 1600.0000 |   57.24 | Best Model Saved
   16 | 7303.661577 |    0.8279 | 5998.504693 |  0.8335 | 1.00e-03 | 46.9501 | 1600.0000 |   53.39 | Best Model Saved
   17 | 7028.657962 |    0.8376 | 5649.265897 |  0.8410 | 1.00e-03 | 47.3872 | 1600.0000 |   53.98 | Best Model Saved
   18 | 6543.676768 |    0.8427 | 5388.331802 |  0.8415 | 1.00e-03 | 47.7004 | 1600.0000 |   56.51 | Best Model Saved
   19 | 6194.750182 |    0.8556 | 5012.820526 |  0.8585 | 1.00e-03 | 48.2946 | 1600.0000 |   57.92 | Best Model Saved
   20 | 6011.104411 |    0.8504 | 4738.612473 |  0.8640 | 1.00e-03 | 48.7319 | 1600.0000 |   54.39 | Best Model Saved
   21 | 5728.124747 |    0.8622 | 4504.508382 |  0.8680 | 1.00e-03 | 49.0352 | 1600.0000 |   53.93 | Best Model Saved
   22 | 5456.422956 |    0.8600 | 4353.255849 |  0.8725 | 1.00e-03 | 49.5040 | 1600.0000 |   55.90 | Best Model Saved
   23 | 5244.627210 |    0.8795 | 4143.612414 |  0.8660 | 1.00e-03 | 49.8031 | 1600.0000 |   57.03 | Best Model Saved
   24 | 4969.316138 |    0.8720 | 3971.083564 |  0.8755 | 1.00e-03 | 50.1136 | 1600.0000 |   57.03 | Best Model Saved
   25 | 4708.304585 |    0.8814 | 3789.000194 |  0.8885 | 1.00e-03 | 50.4477 | 1600.0000 |   56.28 | Best Model Saved
   26 | 4774.226184 |    0.8797 | 4197.949380 |  0.8475 | 1.00e-03 | 50.3562 | 1600.0000 |   55.30 | 
   27 | 4783.899558 |    0.8756 | 3904.957989 |  0.8625 | 1.00e-03 | 50.4786 | 1600.0000 |   56.01 | 
   28 | 4333.807165 |    0.8867 | 3608.917292 |  0.9185 | 1.00e-03 | 51.0034 | 1600.0000 |   56.08 | Best Model Saved
   29 | 4466.750900 |    0.8833 | 3471.775751 |  0.8845 | 1.00e-03 | 50.9463 | 1600.0000 |   58.00 | 
   30 | 4216.947834 |    0.8872 | 3414.823161 |  0.9210 | 1.00e-03 | 51.2412 | 1600.0000 |   55.41 | Best Model Saved
   31 | 4047.485286 |    0.8908 | 3315.975644 |  0.9005 | 1.00e-03 | 51.2468 | 1600.0000 |   56.09 | 
   32 | 4108.266339 |    0.8851 | 3248.096373 |  0.9255 | 1.00e-03 | 51.8391 | 1600.0000 |   56.96 | Best Model Saved
   33 | 4016.087346 |    0.8922 | 3183.961829 |  0.9110 | 1.00e-03 | 51.5162 | 1600.0000 |   53.83 | 
   34 | 3775.185038 |    0.8961 | 3048.451265 |  0.9250 | 1.00e-03 | 52.1205 | 1600.0000 |   55.20 | Best Model Saved
   35 | 3812.275612 |    0.8951 | 3036.047094 |  0.9125 | 1.00e-03 | 52.1127 | 1600.0000 |   57.37 | 
   36 | 3646.439891 |    0.9027 | 2857.049036 |  0.9285 | 1.00e-03 | 52.4823 | 1600.0000 |   55.03 | Best Model Saved
   37 | 3544.435511 |    0.9039 | 2855.206726 |  0.9140 | 1.00e-03 | 52.2269 | 1600.0000 |   55.21 | 
   38 | 3476.378196 |    0.9039 | 2773.461552 |  0.9230 | 1.00e-03 | 52.5227 | 1600.0000 |   57.08 | Best Model Saved
   39 | 3513.293975 |    0.9044 | 2785.282444 |  0.8970 | 1.00e-03 | 52.5307 | 1600.0000 |   56.08 | 
   40 | 3287.397392 |    0.9016 | 2558.633576 |  0.9315 | 1.00e-03 | 52.9296 | 1600.0000 |   57.73 | Best Model Saved
   41 | 3390.346066 |    0.9051 | 2701.230499 |  0.9190 | 1.00e-03 | 52.8505 | 1600.0000 |   55.23 | 
   42 | 3455.585140 |    0.8973 | 2526.898724 |  0.9340 | 1.00e-03 | 53.1363 | 1600.0000 |   59.26 | Best Model Saved
   43 | 3203.703358 |    0.9106 | 2577.357247 |  0.9230 | 1.00e-03 | 53.0572 | 1600.0000 |   54.95 | 
   44 | 3175.970332 |    0.9038 | 2337.787138 |  0.9295 | 1.00e-03 | 53.2979 | 1600.0000 |   56.72 | Best Model Saved
   45 | 3106.317097 |    0.9038 | 2305.994760 |  0.9290 | 1.00e-03 | 53.3642 | 1600.0000 |   57.36 | Best Model Saved
   46 | 3013.456471 |    0.9092 | 2315.281121 |  0.9255 | 1.00e-03 | 53.2770 | 1600.0000 |   57.10 | 
   47 | 3133.415392 |    0.9023 | 2273.788373 |  0.9250 | 1.00e-03 | 53.1998 | 1600.0000 |   56.04 | 
   48 | 2873.971366 |    0.9135 | 2207.925053 |  0.9275 | 1.00e-03 | 53.4997 | 1600.0000 |   56.69 | Best Model Saved
   49 | 2876.231901 |    0.9054 | 2200.378945 |  0.9285 | 1.00e-03 | 53.3821 | 1600.0000 |   53.97 | 
   50 | 2994.611020 |    0.8996 | 2083.409838 |  0.9290 | 1.00e-03 | 53.6763 | 1600.0000 |   56.08 | Best Model Saved
