epoch,train_loss,val_loss,train_acc,val_acc,learning_rate
1,7.396474,0.094736,0.784091,0.658500,1.00e-03
2,2.177798,0.762216,0.785859,0.683000,1.00e-03
3,3.014688,12.111456,0.770328,0.644500,1.00e-03
4,3.417737,44.049859,0.769192,0.632500,1.00e-03
5,3.023253,23.374649,0.762374,0.646000,1.00e-03
6,2.231179,26.142117,0.761237,0.638000,1.00e-03
7,3.393459,9.877703,0.754545,0.657000,1.00e-03
8,0.902167,5.723729,0.761364,0.655500,1.00e-03
9,2.661004,6.531977,0.761111,0.657500,1.00e-03
10,1.489117,7.253654,0.765909,0.646000,1.00e-03
11,1.676065,2.862016,0.770833,0.662500,1.00e-03
12,2.159632,38.333125,0.754672,0.647000,1.00e-03
13,2.368499,8.384493,0.762626,0.677000,1.00e-03
14,2.051470,13.351798,0.755303,0.669500,1.00e-03
15,3.056314,23.383031,0.763384,0.701000,1.00e-03
16,2.898227,4.321874,0.757702,0.685000,1.00e-03
17,1.353384,3.868592,0.762247,0.675000,1.00e-03
18,0.963036,1.549992,0.763889,0.694500,1.00e-03
19,3.718739,2.780650,0.772727,0.690500,1.00e-03
20,1.633237,0.777359,0.772348,0.709500,1.00e-03
21,3.231661,2.443877,0.766540,0.693500,1.00e-03
22,2.798162,1.672661,0.758965,0.709500,1.00e-03
23,0.944892,0.156809,0.762879,0.719000,1.00e-03
24,1.853717,0.454808,0.766793,0.718000,1.00e-03
25,1.060328,3.302168,0.779040,0.688500,1.00e-03
26,2.633700,1.518778,0.783838,0.726000,1.00e-03
27,3.761552,1.900603,0.781944,0.711500,1.00e-03
28,1.650288,0.802563,0.783712,0.720000,1.00e-03
29,1.907243,0.165084,0.774495,0.723000,1.00e-03
30,0.641642,0.207234,0.773737,0.741000,1.00e-03
31,2.607787,0.092061,0.784343,0.770500,1.00e-03
32,1.989347,4.124601,0.768939,0.688500,1.00e-03
33,0.814524,1.486047,0.771591,0.735500,1.00e-03
34,3.541488,3.049356,0.774242,0.705500,1.00e-03
35,0.900432,0.806525,0.781439,0.721500,1.00e-03
36,0.679225,1.746916,0.771591,0.713000,1.00e-03
37,1.579057,0.214011,0.788384,0.723500,1.00e-03
38,2.092146,13.801178,0.769949,0.686000,1.00e-03
39,2.106483,1.033554,0.768434,0.729500,1.00e-03
40,1.925515,0.092329,0.771338,0.738500,1.00e-03
41,2.496283,1.640719,0.786869,0.716500,1.00e-03
42,1.284876,1.150582,0.782449,0.722000,5.00e-04
43,1.697228,0.187190,0.789141,0.733000,5.00e-04
44,1.512655,0.778898,0.785732,0.725000,5.00e-04
45,0.380429,0.092250,0.788258,0.735000,5.00e-04
46,1.047157,0.092158,0.790152,0.757500,5.00e-04
47,1.309249,0.824645,0.767677,0.722000,5.00e-04
48,2.278211,0.114878,0.773232,0.742500,5.00e-04
49,1.808673,1.480078,0.784722,0.720000,5.00e-04
50,1.083603,0.283869,0.775884,0.745500,5.00e-04
