Experiment: floating_5det_two_layer
Date: 20260406_0332
==================================================
Epoch | Train Loss | Train Acc | Val Loss | Val Acc | LR | Int.Ratio | MaskWt | Time(s) | Status
--------------------------------------------------------------------------------
    1 |   7.396474 |    0.7841 | 0.094736 |  0.6585 | 1.00e-03 | 38.7775 | 1500.0000 |   94.64 | Best Model Saved
    2 |   2.177798 |    0.7859 | 0.762216 |  0.6830 | 1.00e-03 | 38.9826 | 1500.0000 |   82.89 | Best Model Saved
    3 |   3.014688 |    0.7703 | 12.111456 |  0.6445 | 1.00e-03 | 38.8577 | 1500.0000 |   77.06 | 
    4 |   3.417737 |    0.7692 | 44.049859 |  0.6325 | 1.00e-03 | 38.7989 | 1500.0000 |   81.69 | 
    5 |   3.023253 |    0.7624 | 23.374649 |  0.6460 | 1.00e-03 | 38.8138 | 1500.0000 |   81.70 | 
    6 |   2.231179 |    0.7612 | 26.142117 |  0.6380 | 1.00e-03 | 38.9396 | 1500.0000 |   79.98 | 
    7 |   3.393459 |    0.7545 | 9.877703 |  0.6570 | 1.00e-03 | 38.9937 | 1500.0000 |   80.19 | 
    8 |   0.902167 |    0.7614 | 5.723729 |  0.6555 | 1.00e-03 | 38.9959 | 1500.0000 |   80.68 | 
    9 |   2.661004 |    0.7611 | 6.531977 |  0.6575 | 1.00e-03 | 39.0140 | 1500.0000 |   78.77 | 
   10 |   1.489117 |    0.7659 | 7.253654 |  0.6460 | 1.00e-03 | 39.0805 | 1500.0000 |   80.24 | Best Model Saved
   11 |   1.676065 |    0.7708 | 2.862016 |  0.6625 | 1.00e-03 | 39.1218 | 1500.0000 |   81.58 | Best Model Saved
   12 |   2.159632 |    0.7547 | 38.333125 |  0.6470 | 1.00e-03 | 38.9137 | 1500.0000 |   82.56 | 
   13 |   2.368499 |    0.7626 | 8.384493 |  0.6770 | 1.00e-03 | 39.0177 | 1500.0000 |   79.81 | 
   14 |   2.051470 |    0.7553 | 13.351798 |  0.6695 | 1.00e-03 | 39.0280 | 1500.0000 |   82.62 | 
   15 |   3.056314 |    0.7634 | 23.383031 |  0.7010 | 1.00e-03 | 39.1125 | 1500.0000 |   82.23 | Best Model Saved
   16 |   2.898227 |    0.7577 | 4.321874 |  0.6850 | 1.00e-03 | 39.0244 | 1500.0000 |   81.31 | 
