epoch,train_loss,val_loss,train_acc,val_acc,learning_rate
1,0.417174,0.204587,0.768813,0.772000,1.00e-03
2,1.941172,0.088688,0.762879,0.795500,1.00e-03
3,0.964372,0.086242,0.786490,0.829500,1.00e-03
4,3.914448,0.425662,0.772727,0.804500,1.00e-03
5,2.023295,0.085055,0.780303,0.796500,1.00e-03
6,2.609294,8.600659,0.794571,0.800000,1.00e-03
7,3.688650,0.189326,0.775126,0.846000,1.00e-03
8,3.750923,0.082339,0.773864,0.814000,1.00e-03
9,1.842857,0.080301,0.795455,0.847000,1.00e-03
10,4.077500,0.081256,0.787626,0.826500,1.00e-03
11,1.627474,0.080041,0.800253,0.806500,1.00e-03
12,2.475625,0.078616,0.798864,0.853000,1.00e-03
13,2.106792,0.078134,0.795455,0.858000,1.00e-03
14,4.467762,0.077209,0.806692,0.821500,1.00e-03
15,2.991870,0.076895,0.808207,0.855000,1.00e-03
16,2.151807,0.076191,0.802273,0.811500,1.00e-03
17,4.583106,0.075386,0.805808,0.884000,1.00e-03
18,2.510296,0.074729,0.820455,0.872500,1.00e-03
19,3.320668,0.074162,0.822475,0.885500,1.00e-03
20,3.524002,0.074631,0.814773,0.866000,1.00e-03
21,3.181862,0.074877,0.818687,0.824500,1.00e-03
22,3.145644,0.073608,0.829545,0.895000,1.00e-03
23,2.833880,0.072964,0.821843,0.897500,1.00e-03
24,3.710044,0.072847,0.830051,0.905000,1.00e-03
25,3.990454,0.072862,0.819823,0.901000,1.00e-03
26,4.146928,0.072536,0.823990,0.894000,1.00e-03
27,2.398252,0.071598,0.839394,0.912500,1.00e-03
28,6.424804,0.071649,0.828914,0.915500,1.00e-03
29,1.988948,0.071880,0.837121,0.886000,1.00e-03
30,2.575213,0.071632,0.844697,0.893000,1.00e-03
31,1.743111,0.071486,0.837374,0.894500,1.00e-03
32,2.428436,0.070636,0.836111,0.917500,1.00e-03
33,3.543812,0.070824,0.845455,0.913500,1.00e-03
34,4.335529,0.071617,0.840152,0.880500,1.00e-03
35,8.661876,0.070688,0.830934,0.887000,1.00e-03
36,2.123290,0.070062,0.844318,0.892500,1.00e-03
37,6.715657,0.070214,0.854293,0.884500,1.00e-03
38,4.382247,0.072176,0.851389,0.830000,1.00e-03
39,2.335043,0.070173,0.837500,0.886000,1.00e-03
40,4.898588,0.070198,0.852399,0.882000,1.00e-03
41,4.217995,0.071162,0.845960,0.829500,1.00e-03
42,2.963990,0.069708,0.839394,0.872500,1.00e-03
43,7.108471,0.069846,0.847475,0.872500,1.00e-03
44,2.955399,0.069131,0.858207,0.888500,1.00e-03
45,5.570076,0.069227,0.850000,0.900000,1.00e-03
46,2.983493,0.070518,0.844949,0.870500,1.00e-03
47,2.858506,0.069256,0.851136,0.905500,1.00e-03
48,2.008901,0.068803,0.854167,0.875500,1.00e-03
49,3.940208,0.068597,0.850126,0.906000,1.00e-03
50,4.781324,0.068073,0.856944,0.907000,1.00e-03
51,4.006151,0.068355,0.857702,0.882500,1.00e-03
52,7.703066,0.068599,0.852020,0.865000,1.00e-03
53,3.334635,0.068305,0.854040,0.892000,1.00e-03
54,3.589449,0.068089,0.859722,0.867000,1.00e-03
55,3.106794,0.068237,0.854293,0.850500,1.00e-03
56,3.889291,0.067177,0.860480,0.913000,1.00e-03
57,3.395429,0.067634,0.851641,0.864500,1.00e-03
58,2.879722,0.068251,0.849242,0.853000,1.00e-03
59,2.825472,0.067930,0.854545,0.856500,1.00e-03
60,7.048562,0.068776,0.860859,0.850000,1.00e-03
61,6.984763,0.068210,0.857702,0.877500,1.00e-03
62,3.108171,0.067177,0.860859,0.888000,1.00e-03
63,3.530138,0.066388,0.856818,0.906500,1.00e-03
64,4.278008,0.066852,0.861869,0.866500,1.00e-03
65,3.512881,0.066685,0.853283,0.843000,1.00e-03
66,7.603648,0.066787,0.855556,0.877500,1.00e-03
67,2.692006,0.067746,0.852399,0.831000,1.00e-03
68,3.602033,0.066563,0.860354,0.902000,1.00e-03
69,3.550745,0.066258,0.865278,0.881500,1.00e-03
70,3.621950,0.066078,0.852778,0.912000,1.00e-03
71,4.566148,0.066479,0.870076,0.863000,1.00e-03
72,3.479881,0.066318,0.865152,0.883500,1.00e-03
73,3.911799,0.066361,0.864141,0.877500,1.00e-03
74,3.436189,0.066425,0.859848,0.881000,1.00e-03
75,3.608662,0.065421,0.860227,0.917000,1.00e-03
76,7.576339,0.065905,0.858586,0.902500,1.00e-03
77,3.488835,0.066340,0.858081,0.879000,1.00e-03
78,3.429414,0.065284,0.867677,0.903000,1.00e-03
79,4.246513,0.065549,0.863258,0.894000,1.00e-03
80,2.902055,0.064968,0.868308,0.922000,1.00e-03
81,3.617055,0.065204,0.865404,0.903500,1.00e-03
82,4.099031,0.065694,0.865657,0.882000,1.00e-03
83,3.609673,0.065472,0.870581,0.861000,1.00e-03
84,7.522429,0.065182,0.867677,0.894500,1.00e-03
85,4.948670,0.065651,0.858207,0.872000,1.00e-03
86,3.338894,0.064420,0.862500,0.932000,1.00e-03
87,3.060372,0.065570,0.880429,0.873000,1.00e-03
88,3.600514,0.064967,0.866162,0.901000,1.00e-03
89,3.473462,0.065125,0.866288,0.869500,1.00e-03
90,3.451699,0.064867,0.859217,0.877500,1.00e-03
91,8.075538,0.063922,0.873232,0.928500,1.00e-03
92,4.053822,0.064033,0.871970,0.916500,1.00e-03
93,5.558186,0.064533,0.875505,0.910000,1.00e-03
94,3.927330,0.064603,0.856818,0.900500,1.00e-03
95,3.950123,0.064304,0.867424,0.925000,1.00e-03
96,2.459894,0.063893,0.875884,0.925000,1.00e-03
97,2.448230,0.064495,0.863005,0.879000,1.00e-03
98,4.286477,0.064451,0.874874,0.886000,1.00e-03
99,3.731014,0.064647,0.875379,0.907000,1.00e-03
100,3.594770,0.063773,0.872727,0.918000,1.00e-03
101,2.659359,0.064510,0.865404,0.872000,1.00e-03
102,3.251441,0.063673,0.872601,0.919500,1.00e-03
103,2.857714,0.063636,0.879545,0.924500,1.00e-03
104,3.444214,0.063166,0.876768,0.938500,1.00e-03
105,4.369440,0.063941,0.867045,0.906000,1.00e-03
106,3.090602,0.063218,0.878283,0.919000,1.00e-03
107,3.835655,0.063499,0.866667,0.894500,1.00e-03
108,1.940425,0.063216,0.882576,0.915500,1.00e-03
109,3.719068,0.064627,0.872601,0.847500,1.00e-03
110,4.380813,0.063251,0.870707,0.924500,1.00e-03
111,3.276546,0.064413,0.861490,0.876000,1.00e-03
112,5.298679,0.063954,0.871970,0.884000,1.00e-03
113,4.086592,0.063462,0.876768,0.919000,1.00e-03
114,4.493395,0.063252,0.875126,0.908000,1.00e-03
115,4.476076,0.062853,0.874747,0.926500,1.00e-03
116,3.456053,0.063151,0.875379,0.885000,1.00e-03
117,6.166267,0.062936,0.872601,0.907500,1.00e-03
118,9.827290,0.063755,0.861111,0.881000,1.00e-03
119,4.988547,0.063175,0.881818,0.901000,1.00e-03
120,5.131055,0.062495,0.878283,0.925500,1.00e-03
121,3.834836,0.063356,0.866540,0.897500,1.00e-03
122,2.771373,0.062593,0.878409,0.927000,1.00e-03
123,3.992069,0.062543,0.878283,0.924500,1.00e-03
124,4.270040,0.063681,0.871212,0.877500,1.00e-03
125,4.532991,0.063113,0.873737,0.893000,1.00e-03
126,3.600856,0.062659,0.876515,0.929500,1.00e-03
