Experiment: floating_5det_two_layer_low_tile
Date: 20260406_1609
==================================================
Epoch | Train Loss | Train Acc | Val Loss | Val Acc | LR | Int.Ratio | MaskWt | Time(s) | Status
--------------------------------------------------------------------------------
    1 |   0.417174 |    0.7688 | 0.204587 |  0.7720 | 1.00e-03 | 40.4133 | 1500.0000 |   90.98 | Best Model Saved
    2 |   1.941172 |    0.7629 | 0.088688 |  0.7955 | 1.00e-03 | 40.8795 | 1500.0000 |   79.63 | Best Model Saved
    3 |   0.964372 |    0.7865 | 0.086242 |  0.8295 | 1.00e-03 | 41.9081 | 1500.0000 |   77.88 | Best Model Saved
    4 |   3.914448 |    0.7727 | 0.425662 |  0.8045 | 1.00e-03 | 42.2930 | 1500.0000 |   78.15 | Best Model Saved
    5 |   2.023295 |    0.7803 | 0.085055 |  0.7965 | 1.00e-03 | 42.5267 | 1500.0000 |   79.68 | Best Model Saved
    6 |   2.609294 |    0.7946 | 8.600659 |  0.8000 | 1.00e-03 | 42.8474 | 1500.0000 |   76.72 | Best Model Saved
    7 |   3.688650 |    0.7751 | 0.189326 |  0.8460 | 1.00e-03 | 43.1665 | 1500.0000 |   79.18 | Best Model Saved
    8 |   3.750923 |    0.7739 | 0.082339 |  0.8140 | 1.00e-03 | 43.5742 | 1500.0000 |   77.56 | Best Model Saved
    9 |   1.842857 |    0.7955 | 0.080301 |  0.8470 | 1.00e-03 | 44.2785 | 1500.0000 |   78.83 | Best Model Saved
   10 |   4.077500 |    0.7876 | 0.081256 |  0.8265 | 1.00e-03 | 43.9945 | 1500.0000 |   78.25 | 
   11 |   1.627474 |    0.8003 | 0.080041 |  0.8065 | 1.00e-03 | 44.3177 | 1500.0000 |   79.28 | 
   12 |   2.475625 |    0.7989 | 0.078616 |  0.8530 | 1.00e-03 | 44.8955 | 1500.0000 |   78.48 | Best Model Saved
   13 |   2.106792 |    0.7955 | 0.078134 |  0.8580 | 1.00e-03 | 45.0217 | 1500.0000 |   77.72 | Best Model Saved
   14 |   4.467762 |    0.8067 | 0.077209 |  0.8215 | 1.00e-03 | 45.4115 | 1500.0000 |   78.02 | Best Model Saved
   15 |   2.991870 |    0.8082 | 0.076895 |  0.8550 | 1.00e-03 | 45.5749 | 1500.0000 |   78.65 | Best Model Saved
   16 |   2.151807 |    0.8023 | 0.076191 |  0.8115 | 1.00e-03 | 45.8218 | 1500.0000 |   80.25 | Best Model Saved
   17 |   4.583106 |    0.8058 | 0.075386 |  0.8840 | 1.00e-03 | 46.0964 | 1500.0000 |   82.59 | Best Model Saved
   18 |   2.510296 |    0.8205 | 0.074729 |  0.8725 | 1.00e-03 | 46.3355 | 1500.0000 |   78.63 | Best Model Saved
   19 |   3.320668 |    0.8225 | 0.074162 |  0.8855 | 1.00e-03 | 46.5045 | 1500.0000 |   80.19 | Best Model Saved
   20 |   3.524002 |    0.8148 | 0.074631 |  0.8660 | 1.00e-03 | 46.3801 | 1500.0000 |   79.35 | 
   21 |   3.181862 |    0.8187 | 0.074877 |  0.8245 | 1.00e-03 | 46.2062 | 1500.0000 |   82.93 | 
   22 |   3.145644 |    0.8295 | 0.073608 |  0.8950 | 1.00e-03 | 46.6285 | 1500.0000 |   80.30 | Best Model Saved
   23 |   2.833880 |    0.8218 | 0.072964 |  0.8975 | 1.00e-03 | 46.9908 | 1500.0000 |   79.92 | Best Model Saved
   24 |   3.710044 |    0.8301 | 0.072847 |  0.9050 | 1.00e-03 | 47.0041 | 1500.0000 |   80.44 | Best Model Saved
   25 |   3.990454 |    0.8198 | 0.072862 |  0.9010 | 1.00e-03 | 47.0633 | 1500.0000 |   81.49 | Best Model Saved
   26 |   4.146928 |    0.8240 | 0.072536 |  0.8940 | 1.00e-03 | 47.1308 | 1500.0000 |   80.85 | Best Model Saved
   27 |   2.398252 |    0.8394 | 0.071598 |  0.9125 | 1.00e-03 | 47.6426 | 1500.0000 |   81.38 | Best Model Saved
   28 |   6.424804 |    0.8289 | 0.071649 |  0.9155 | 1.00e-03 | 47.5497 | 1500.0000 |   79.15 | 
   29 |   1.988948 |    0.8371 | 0.071880 |  0.8860 | 1.00e-03 | 47.5105 | 1500.0000 |   82.05 | 
   30 |   2.575213 |    0.8447 | 0.071632 |  0.8930 | 1.00e-03 | 47.5179 | 1500.0000 |   78.05 | 
   31 |   1.743111 |    0.8374 | 0.071486 |  0.8945 | 1.00e-03 | 47.5891 | 1500.0000 |   81.10 | 
   32 |   2.428436 |    0.8361 | 0.070636 |  0.9175 | 1.00e-03 | 47.8649 | 1500.0000 |   81.68 | Best Model Saved
   33 |   3.543812 |    0.8455 | 0.070824 |  0.9135 | 1.00e-03 | 47.8954 | 1500.0000 |   77.74 | Best Model Saved
   34 |   4.335529 |    0.8402 | 0.071617 |  0.8805 | 1.00e-03 | 47.5775 | 1500.0000 |   78.22 | 
   35 |   8.661876 |    0.8309 | 0.070688 |  0.8870 | 1.00e-03 | 47.9411 | 1500.0000 |   80.19 | 
   36 |   2.123290 |    0.8443 | 0.070062 |  0.8925 | 1.00e-03 | 48.3037 | 1500.0000 |   82.46 | Best Model Saved
   37 |   6.715657 |    0.8543 | 0.070214 |  0.8845 | 1.00e-03 | 48.2073 | 1500.0000 |   82.52 | 
   38 |   4.382247 |    0.8514 | 0.072176 |  0.8300 | 1.00e-03 | 47.4296 | 1500.0000 |   82.36 | 
   39 |   2.335043 |    0.8375 | 0.070173 |  0.8860 | 1.00e-03 | 48.2088 | 1500.0000 |   79.40 | 
   40 |   4.898588 |    0.8524 | 0.070198 |  0.8820 | 1.00e-03 | 48.1915 | 1500.0000 |   79.07 | 
   41 |   4.217995 |    0.8460 | 0.071162 |  0.8295 | 1.00e-03 | 47.8761 | 1500.0000 |   78.21 | 
   42 |   2.963990 |    0.8394 | 0.069708 |  0.8725 | 1.00e-03 | 48.5358 | 1500.0000 |   81.30 | Best Model Saved
   43 |   7.108471 |    0.8475 | 0.069846 |  0.8725 | 1.00e-03 | 48.4215 | 1500.0000 |   80.00 | 
   44 |   2.955399 |    0.8582 | 0.069131 |  0.8885 | 1.00e-03 | 48.6719 | 1500.0000 |   81.37 | Best Model Saved
   45 |   5.570076 |    0.8500 | 0.069227 |  0.9000 | 1.00e-03 | 48.6231 | 1500.0000 |   80.46 | 
   46 |   2.983493 |    0.8449 | 0.070518 |  0.8705 | 1.00e-03 | 48.1617 | 1500.0000 |   78.56 | 
   47 |   2.858506 |    0.8511 | 0.069256 |  0.9055 | 1.00e-03 | 48.5952 | 1500.0000 |   81.28 | 
   48 |   2.008901 |    0.8542 | 0.068803 |  0.8755 | 1.00e-03 | 48.9165 | 1500.0000 |   78.53 | Best Model Saved
