epoch,train_loss,val_loss,train_acc,val_acc,learning_rate
1,63294.477865,57801.636250,0.522786,0.627000,1.00e-03
2,54489.688542,47967.238250,0.671615,0.655500,1.00e-03
3,45114.994792,36421.757875,0.682292,0.702500,1.00e-03
4,34732.706120,24933.923961,0.750000,0.789000,1.00e-03
5,24610.232227,14714.743157,0.843099,0.907500,1.00e-03
6,16169.563411,8955.872106,0.895312,0.877500,1.00e-03
7,11389.019759,5157.043740,0.868359,0.883500,1.00e-03
8,7612.576107,4347.754596,0.876693,0.920500,1.00e-03
9,5693.329443,3944.979360,0.888411,0.884500,1.00e-03
10,4866.317122,3573.200330,0.908464,0.926000,1.00e-03
11,4621.250586,3225.116653,0.903776,0.927500,1.00e-03
12,3729.081055,2898.647783,0.920182,0.929000,1.00e-03
13,3326.652913,2547.831318,0.924219,0.934000,1.00e-03
14,3266.647876,2351.379120,0.927734,0.938000,1.00e-03
15,3002.529362,2183.803028,0.924609,0.923000,1.00e-03
16,2556.170679,1810.213664,0.932943,0.934000,1.00e-03
17,2469.283700,1584.382290,0.925911,0.936000,1.00e-03
18,2261.870898,2070.765370,0.934115,0.931000,1.00e-03
19,2495.818376,1992.748267,0.918750,0.929500,1.00e-03
20,2015.040540,1379.759272,0.930599,0.936000,1.00e-03
21,1951.461308,1372.886815,0.927995,0.937000,1.00e-03
22,1963.520500,1101.368737,0.932161,0.934500,1.00e-03
23,1655.016602,1159.411627,0.934766,0.943000,1.00e-03
24,1639.663269,1050.218599,0.937500,0.933000,1.00e-03
25,1640.788871,1086.529067,0.935417,0.935500,1.00e-03
26,1466.532113,950.359396,0.940365,0.938000,1.00e-03
27,1487.392448,795.723645,0.942969,0.944000,1.00e-03
28,1336.748014,782.634853,0.945052,0.947000,1.00e-03
29,1300.510726,1099.741752,0.945052,0.943000,1.00e-03
30,1317.048376,644.555524,0.946484,0.956500,1.00e-03
31,1152.162952,756.343059,0.952344,0.946500,1.00e-03
32,1022.171391,625.242024,0.956771,0.956500,1.00e-03
33,914.243199,504.336123,0.959635,0.974000,1.00e-03
34,941.241302,568.077025,0.968490,0.967000,1.00e-03
35,940.227865,507.118785,0.968359,0.973000,1.00e-03
36,865.822662,408.415835,0.963411,0.967500,1.00e-03
37,1021.924288,520.226950,0.963672,0.964500,1.00e-03
38,751.228735,421.846392,0.965625,0.964000,1.00e-03
39,861.033268,464.743160,0.965365,0.967500,1.00e-03
40,694.677771,365.127124,0.975911,0.996000,1.00e-03
41,689.657395,272.238222,0.980599,0.997000,1.00e-03
42,666.388155,366.825375,0.978385,0.974500,1.00e-03
43,701.570296,233.454273,0.981250,0.997000,1.00e-03
44,645.339471,279.124535,0.980859,0.984500,1.00e-03
45,545.941542,387.180781,0.988411,0.980500,1.00e-03
46,793.727384,419.916232,0.971224,0.990500,1.00e-03
47,711.402244,518.103967,0.978255,0.949000,1.00e-03
48,590.187675,224.324476,0.985807,0.997500,1.00e-03
49,537.283634,242.239009,0.990104,1.000000,1.00e-03
50,565.878544,339.834434,0.988542,0.990500,1.00e-03
51,591.847844,269.585777,0.980599,0.990500,1.00e-03
52,540.616014,455.571126,0.984635,0.957500,1.00e-03
53,638.479342,362.469396,0.980599,0.970500,1.00e-03
54,673.775790,415.206179,0.980729,0.956000,1.00e-03
55,507.210990,456.448609,0.979167,0.950000,1.00e-03
56,494.139083,198.435164,0.986198,0.996000,1.00e-03
57,462.574328,312.540368,0.992708,0.981500,1.00e-03
58,578.862386,168.038278,0.982161,0.999500,1.00e-03
59,451.044071,125.197714,0.997005,1.000000,1.00e-03
60,541.201935,146.714941,0.987109,0.999500,1.00e-03
61,396.153811,141.436334,0.989062,1.000000,1.00e-03
62,464.526625,119.727613,0.994271,0.999500,1.00e-03
63,610.410944,173.623340,0.992578,0.996500,1.00e-03
64,305.151388,163.283384,0.997526,0.998000,1.00e-03
65,447.717930,123.312554,0.997266,1.000000,1.00e-03
66,501.164347,231.631458,0.979036,0.990500,1.00e-03
67,344.167521,230.533224,0.990365,0.991500,1.00e-03
68,568.556269,78.364545,0.983073,1.000000,1.00e-03
69,275.285376,65.421648,0.995573,1.000000,1.00e-03
70,289.129047,64.986243,0.998307,1.000000,1.00e-03
71,242.857127,117.211984,0.998698,0.998500,1.00e-03
72,344.019638,79.294572,0.997656,0.999500,1.00e-03
73,202.198224,83.127560,0.999219,1.000000,1.00e-03
74,220.261623,133.662542,0.997656,1.000000,1.00e-03
75,255.476437,64.479625,0.995573,0.999500,1.00e-03
76,184.506960,80.658153,0.999349,1.000000,1.00e-03
77,216.380985,53.127547,0.996875,1.000000,1.00e-03
78,187.956812,75.903278,0.999870,1.000000,1.00e-03
79,206.012996,38.359366,0.996354,1.000000,1.00e-03
80,415.076321,93.152958,0.998047,0.999500,1.00e-03
