Experiment: floating_5det_two_layer
Date: 20260404_0341
==================================================
Epoch | Train Loss | Train Acc | Val Loss | Val Acc | LR | Int.Ratio | MaskWt | Time(s) | Status
--------------------------------------------------------------------------------
    1 | 63294.477865 |    0.5228 | 57801.636250 |  0.6270 | 1.00e-03 | 24.2793 | 2500.0000 |   84.41 | Best Model Saved
    2 | 54489.688542 |    0.6716 | 47967.238250 |  0.6555 | 1.00e-03 | 28.7251 | 2500.0000 |   73.27 | Best Model Saved
    3 | 45114.994792 |    0.6823 | 36421.757875 |  0.7025 | 1.00e-03 | 34.0237 | 2500.0000 |   71.33 | Best Model Saved
    4 | 34732.706120 |    0.7500 | 24933.923961 |  0.7890 | 1.00e-03 | 40.1244 | 2500.0000 |   71.58 | Best Model Saved
    5 | 24610.232227 |    0.8431 | 14714.743157 |  0.9075 | 1.00e-03 | 44.5886 | 2500.0000 |   73.14 | Best Model Saved
    6 | 16169.563411 |    0.8953 | 8955.872106 |  0.8775 | 1.00e-03 | 48.2816 | 2500.0000 |   75.53 | Best Model Saved
    7 | 11389.019759 |    0.8684 | 5157.043740 |  0.8835 | 1.00e-03 | 49.8934 | 2500.0000 |   70.39 | Best Model Saved
    8 | 7612.576107 |    0.8767 | 4347.754596 |  0.9205 | 1.00e-03 | 51.2126 | 2500.0000 |   72.16 | Best Model Saved
    9 | 5693.329443 |    0.8884 | 3944.979360 |  0.8845 | 1.00e-03 | 51.8908 | 2500.0000 |   72.43 | Best Model Saved
   10 | 4866.317122 |    0.9085 | 3573.200330 |  0.9260 | 1.00e-03 | 52.6778 | 2500.0000 |   72.17 | Best Model Saved
   11 | 4621.250586 |    0.9038 | 3225.116653 |  0.9275 | 1.00e-03 | 53.4108 | 2500.0000 |   73.51 | Best Model Saved
   12 | 3729.081055 |    0.9202 | 2898.647783 |  0.9290 | 1.00e-03 | 54.0531 | 2500.0000 |   74.49 | Best Model Saved
   13 | 3326.652913 |    0.9242 | 2547.831318 |  0.9340 | 1.00e-03 | 54.5411 | 2500.0000 |   73.75 | Best Model Saved
   14 | 3266.647876 |    0.9277 | 2351.379120 |  0.9380 | 1.00e-03 | 55.0734 | 2500.0000 |   72.36 | Best Model Saved
   15 | 3002.529362 |    0.9246 | 2183.803028 |  0.9230 | 1.00e-03 | 55.1778 | 2500.0000 |   75.77 | Best Model Saved
   16 | 2556.170679 |    0.9329 | 1810.213664 |  0.9340 | 1.00e-03 | 55.7106 | 2500.0000 |   72.25 | Best Model Saved
   17 | 2469.283700 |    0.9259 | 1584.382290 |  0.9360 | 1.00e-03 | 56.0510 | 2500.0000 |   83.40 | Best Model Saved
   18 | 2261.870898 |    0.9341 | 2070.765370 |  0.9310 | 1.00e-03 | 56.2894 | 2500.0000 |   73.09 | Best Model Saved
   19 | 2495.818376 |    0.9187 | 1992.748267 |  0.9295 | 1.00e-03 | 56.4595 | 2500.0000 |   70.39 | Best Model Saved
   20 | 2015.040540 |    0.9306 | 1379.759272 |  0.9360 | 1.00e-03 | 56.8154 | 2500.0000 |   70.35 | Best Model Saved
   21 | 1951.461308 |    0.9280 | 1372.886815 |  0.9370 | 1.00e-03 | 56.9408 | 2500.0000 |   72.92 | Best Model Saved
   22 | 1963.520500 |    0.9322 | 1101.368737 |  0.9345 | 1.00e-03 | 57.2966 | 2500.0000 |   71.57 | Best Model Saved
   23 | 1655.016602 |    0.9348 | 1159.411627 |  0.9430 | 1.00e-03 | 57.2148 | 2500.0000 |   73.37 | 
   24 | 1639.663269 |    0.9375 | 1050.218599 |  0.9330 | 1.00e-03 | 57.5692 | 2500.0000 |   74.29 | Best Model Saved
   25 | 1640.788871 |    0.9354 | 1086.529067 |  0.9355 | 1.00e-03 | 57.7648 | 2500.0000 |   70.78 | Best Model Saved
   26 | 1466.532113 |    0.9404 | 950.359396 |  0.9380 | 1.00e-03 | 57.6291 | 2500.0000 |   74.06 | 
   27 | 1487.392448 |    0.9430 | 795.723645 |  0.9440 | 1.00e-03 | 58.1155 | 2500.0000 |   73.57 | Best Model Saved
