epoch,train_loss,val_loss,train_acc,val_acc,learning_rate
1,2.928913,0.059034,0.897854,0.927500,1.00e-03
2,1.702117,0.058416,0.901263,0.904000,1.00e-03
3,1.157725,0.057659,0.891919,0.924500,1.00e-03
4,0.466389,0.057200,0.898990,0.919000,1.00e-03
5,1.179326,0.056995,0.892929,0.924500,1.00e-03
6,0.588712,0.056443,0.894192,0.940000,1.00e-03
7,3.083142,0.056193,0.899242,0.936500,1.00e-03
8,2.003267,0.056489,0.894444,0.892500,1.00e-03
9,0.198663,0.055551,0.892424,0.936500,1.00e-03
10,2.007578,0.055475,0.895960,0.916000,1.00e-03
11,0.702561,0.054780,0.894823,0.925500,1.00e-03
12,1.358866,0.055159,0.896717,0.919000,1.00e-03
13,0.737063,0.054633,0.894697,0.914500,1.00e-03
14,0.284535,0.054220,0.895202,0.919000,1.00e-03
15,3.767330,0.054314,0.902020,0.923000,1.00e-03
16,0.855299,0.054577,0.896212,0.895500,1.00e-03
17,1.726611,0.053861,0.899747,0.915500,1.00e-03
18,1.573305,0.053856,0.900631,0.922500,1.00e-03
19,0.675216,0.053399,0.900000,0.940000,1.00e-03
20,2.705005,0.053465,0.901894,0.934500,1.00e-03
21,13.226087,0.052826,0.891162,0.932500,1.00e-03
22,0.052770,0.052647,0.897475,0.932500,1.00e-03
23,2.455728,0.052513,0.901894,0.931000,1.00e-03
24,1.075452,0.052876,0.893687,0.922000,1.00e-03
25,4.781363,0.053926,0.894571,0.883500,1.00e-03
26,3.618678,0.052495,0.900505,0.934500,1.00e-03
27,2.357406,0.052026,0.900379,0.928500,1.00e-03
28,0.525361,0.052040,0.901136,0.942500,1.00e-03
29,3.548468,0.052092,0.904672,0.928500,1.00e-03
30,1.232271,0.052139,0.889899,0.943000,1.00e-03
31,1.693610,0.052833,0.906944,0.890000,1.00e-03
32,3.552132,0.052648,0.898990,0.895500,1.00e-03
33,1.096708,0.051395,0.899242,0.936000,1.00e-03
