Experiment: floating_5det_two_layer_zero_tilt
Date: 20260406_1931
==================================================
Epoch | Train Loss | Train Acc | Val Loss | Val Acc | LR | Int.Ratio | MaskWt | Time(s) | Status
--------------------------------------------------------------------------------
    1 |   2.928913 |    0.8979 | 0.059034 |  0.9275 | 1.00e-03 | 53.5162 | 1500.0000 |   74.96 | Best Model Saved
    2 |   1.702117 |    0.9013 | 0.058416 |  0.9040 | 1.00e-03 | 53.9707 | 1500.0000 |   75.34 | Best Model Saved
    3 |   1.157725 |    0.8919 | 0.057659 |  0.9245 | 1.00e-03 | 54.2116 | 1500.0000 |   77.13 | Best Model Saved
    4 |   0.466389 |    0.8990 | 0.057200 |  0.9190 | 1.00e-03 | 54.4911 | 1500.0000 |   78.79 | Best Model Saved
    5 |   1.179326 |    0.8929 | 0.056995 |  0.9245 | 1.00e-03 | 54.4619 | 1500.0000 |   76.27 | 
    6 |   0.588712 |    0.8942 | 0.056443 |  0.9400 | 1.00e-03 | 54.7915 | 1500.0000 |   76.25 | Best Model Saved
    7 |   3.083142 |    0.8992 | 0.056193 |  0.9365 | 1.00e-03 | 54.9369 | 1500.0000 |   75.63 | Best Model Saved
    8 |   2.003267 |    0.8944 | 0.056489 |  0.8925 | 1.00e-03 | 54.8314 | 1500.0000 |   77.65 | 
    9 |   0.198663 |    0.8924 | 0.055551 |  0.9365 | 1.00e-03 | 55.2030 | 1500.0000 |   76.67 | Best Model Saved
   10 |   2.007578 |    0.8960 | 0.055475 |  0.9160 | 1.00e-03 | 55.3398 | 1500.0000 |   76.34 | Best Model Saved
   11 |   0.702561 |    0.8948 | 0.054780 |  0.9255 | 1.00e-03 | 55.6624 | 1500.0000 |   76.09 | Best Model Saved
   12 |   1.358866 |    0.8967 | 0.055159 |  0.9190 | 1.00e-03 | 55.4505 | 1500.0000 |   77.00 | 
   13 |   0.737063 |    0.8947 | 0.054633 |  0.9145 | 1.00e-03 | 55.8734 | 1500.0000 |   76.37 | Best Model Saved
   14 |   0.284535 |    0.8952 | 0.054220 |  0.9190 | 1.00e-03 | 55.9673 | 1500.0000 |   75.03 | Best Model Saved
   15 |   3.767330 |    0.9020 | 0.054314 |  0.9230 | 1.00e-03 | 55.8600 | 1500.0000 |   74.34 | 
   16 |   0.855299 |    0.8962 | 0.054577 |  0.8955 | 1.00e-03 | 56.0163 | 1500.0000 |   76.19 | Best Model Saved
   17 |   1.726611 |    0.8997 | 0.053861 |  0.9155 | 1.00e-03 | 56.1218 | 1500.0000 |   77.78 | Best Model Saved
   18 |   1.573305 |    0.9006 | 0.053856 |  0.9225 | 1.00e-03 | 56.1561 | 1500.0000 |   76.83 | Best Model Saved
   19 |   0.675216 |    0.9000 | 0.053399 |  0.9400 | 1.00e-03 | 56.2992 | 1500.0000 |   77.71 | Best Model Saved
   20 |   2.705005 |    0.9019 | 0.053465 |  0.9345 | 1.00e-03 | 56.1969 | 1500.0000 |   78.73 | 
   21 |  13.226087 |    0.8912 | 0.052826 |  0.9325 | 1.00e-03 | 56.6609 | 1500.0000 |   77.15 | Best Model Saved
